date,city,ev_sales,ev_market_share,avg_ev_price,avg_ice_price,gasoline_price,electricity_price,public_charging_points,fast_charging_points,ev_subsidy_amount,purchase_subsidy_active,gdp_per_capita,unemployment_rate,avg_ev_range_km,season,ev_sales_last_month,ev_sales_last_year_same_month
2015-05-01,Chiang Mai,663,0.0626,49773.82,24922.46,3.54,0.12,8,1,2353.98,1,11537.28,5.09,257,Q2,822,3618
2015-06-01,Chiang Mai,252,0.0432,49975.33,25121.27,3.6,0.12,12,1,2510.18,1,11806.23,4.99,247,Q2,663,3618
2015-07-01,Chiang Mai,538,0.0619,49648.18,24728.46,3.64,0.12,5,0,2528.73,1,11634.26,4.98,255,Q3,252,3618
2015-08-01,Chiang Mai,681,0.0539,50541.17,24660.8,3.65,0.12,11,2,2586.94,1,11671.12,4.91,253,Q3,538,3618
2015-09-01,Chiang Mai,571,0.0543,50458.8,24718.04,3.7,0.13,14,2,2486.32,1,10912.86,4.79,265,Q3,681,3618
2015-10-01,Chiang Mai,467,0.0519,49569.65,24823.69,3.66,0.13,22,3,2649.75,1,11466.88,4.91,257,Q4,571,3618
2015-11-01,Chiang Mai,469,0.0668,50343.84,24885.61,3.69,0.13,16,2,2423.62,1,11841.12,5.04,266,Q4,467,3618
2015-12-01,Chiang Mai,691,0.0682,49066.63,25244.58,3.73,0.13,23,4,2600.89,1,12189.32,4.8,251,Q4,469,3618
2016-01-01,Chiang Mai,484,0.0692,50123.71,24869.4,3.75,0.13,22,2,2434.72,1,11856.02,4.83,263,Q1,691,491
2016-02-01,Chiang Mai,808,0.0689,49481.76,25134.35,3.75,0.13,24,2,2497.09,1,11551.38,4.9,248,Q1,484,434
2016-03-01,Chiang Mai,722,0.0673,50505.31,25003.67,3.76,0.13,31,3,2552.13,1,12002.88,4.81,267,Q1,808,411
2016-04-01,Chiang Mai,914,0.1089,49281.03,25479.72,3.77,0.13,29,4,2741.84,1,12059.8,5.0,268,Q2,722,822
2016-05-01,Chiang Mai,668,0.0702,49178.38,25691.28,3.79,0.13,33,5,2843.63,1,11708.93,4.72,262,Q2,914,663
2016-06-01,Chiang Mai,626,0.0686,48541.07,25178.11,3.77,0.13,29,4,2453.62,1,11462.66,4.76,275,Q2,668,252
2016-07-01,Chiang Mai,787,0.0964,49885.67,25108.96,3.77,0.13,30,4,2497.22,1,12022.65,4.64,260,Q3,626,538
2016-08-01,Chiang Mai,814,0.0814,49434.26,25279.11,3.83,0.13,34,6,2427.54,1,11755.33,4.93,273,Q3,787,681
2016-09-01,Chiang Mai,669,0.0961,49140.42,24986.66,3.82,0.14,39,3,2576.79,1,11672.3,4.85,276,Q3,814,571
2016-10-01,Chiang Mai,1028,0.0928,49854.47,25166.96,3.86,0.14,38,4,2495.02,1,11671.85,4.63,252,Q4,669,467
2016-11-01,Chiang Mai,1118,0.1165,48936.16,25434.71,3.85,0.14,47,7,2776.03,1,11522.13,4.49,260,Q4,1028,469
2016-12-01,Chiang Mai,1372,0.1355,49669.35,24511.71,3.85,0.14,55,8,2654.88,1,12095.28,4.45,266,Q4,1118,691
2017-01-01,Chiang Mai,1084,0.1248,49789.83,25453.09,3.92,0.14,51,6,2666.55,1,11413.74,4.36,280,Q1,1372,484
2017-02-01,Chiang Mai,1456,0.1284,48801.67,25064.15,3.92,0.14,59,5,2486.75,1,11669.25,4.54,284,Q1,1084,808
2017-03-01,Chiang Mai,1490,0.1363,49183.09,25416.94,3.95,0.14,63,8,2579.34,1,11180.06,4.59,262,Q1,1456,722
2017-04-01,Chiang Mai,1623,0.1482,49938.86,24748.48,3.95,0.14,62,11,2203.11,1,12027.61,4.39,274,Q2,1490,914
2017-05-01,Chiang Mai,1347,0.1432,49157.0,25400.29,4.03,0.14,72,9,2495.48,1,11644.42,4.3,275,Q2,1623,668
2017-06-01,Chiang Mai,1740,0.177,49415.06,24872.85,4.07,0.14,69,12,2668.91,1,11810.81,4.25,284,Q2,1347,626
2017-07-01,Chiang Mai,1390,0.1599,49937.22,24434.3,4.19,0.14,80,14,2679.09,1,11736.65,4.56,287,Q3,1740,787
2017-08-01,Chiang Mai,1838,0.1717,49726.78,25777.47,4.21,0.14,84,13,2384.07,1,11971.33,4.34,265,Q3,1390,814
2017-09-01,Chiang Mai,1893,0.1899,49456.54,25297.53,4.25,0.14,93,14,2604.57,1,12215.44,4.55,280,Q3,1838,669
2017-10-01,Chiang Mai,1670,0.1911,49162.99,24590.42,4.22,0.14,93,8,2215.96,1,11936.18,4.45,271,Q4,1893,1028
2017-11-01,Chiang Mai,1952,0.2064,48768.64,24854.26,4.21,0.15,100,11,2268.88,1,11843.93,4.45,279,Q4,1670,1118
2017-12-01,Chiang Mai,1753,0.2172,49292.52,25089.89,4.26,0.15,100,14,2531.45,1,11747.69,4.54,271,Q4,1952,1372
2018-01-01,Chiang Mai,2367,0.2185,50479.83,25207.72,4.26,0.15,105,11,2550.29,1,11622.43,4.31,280,Q1,1753,1084
2018-02-01,Chiang Mai,2148,0.2117,49637.79,25010.61,4.26,0.15,117,13,2539.38,1,11976.25,4.51,280,Q1,2367,1456
2018-03-01,Chiang Mai,2370,0.2297,48758.62,24363.35,4.28,0.15,131,11,2578.34,1,11684.74,4.4,282,Q1,2148,1490
2018-04-01,Chiang Mai,2282,0.2502,48882.66,24966.07,4.3,0.15,133,17,2283.42,1,11252.3,4.27,273,Q2,2370,1623
2018-05-01,Chiang Mai,2284,0.2472,49726.23,25198.02,4.33,0.16,135,17,2459.05,1,12062.19,4.48,296,Q2,2282,1347
2018-06-01,Chiang Mai,2506,0.2537,49380.03,25425.05,4.31,0.16,144,14,2450.71,1,12145.1,4.24,283,Q2,2284,1740
2018-07-01,Chiang Mai,2635,0.2572,48693.39,25036.42,4.3,0.16,155,21,2488.39,1,11980.14,4.38,285,Q3,2506,1390
2018-08-01,Chiang Mai,3328,0.2789,48563.27,25143.73,4.37,0.16,167,18,2515.28,1,12451.83,4.1,274,Q3,2635,1838
2018-09-01,Chiang Mai,2888,0.2868,49021.98,25043.04,4.43,0.16,170,15,2388.53,1,11759.52,4.52,286,Q3,3328,1893
2018-10-01,Chiang Mai,2816,0.2955,48900.81,25050.78,4.43,0.16,180,17,2692.25,1,12177.42,4.08,289,Q4,2888,1670
2018-11-01,Chiang Mai,3445,0.3171,48342.45,24871.74,4.41,0.16,195,25,2549.51,1,12207.58,4.07,287,Q4,2816,1952
2018-12-01,Chiang Mai,3181,0.3214,48011.84,24958.52,4.44,0.16,199,25,2168.22,1,12493.13,4.0,287,Q4,3445,1753
2019-01-01,Chiang Mai,2964,0.3313,49031.09,25727.29,4.42,0.16,208,37,2582.31,1,11870.25,4.2,295,Q1,3181,2367
2019-02-01,Chiang Mai,3049,0.3229,49190.43,25540.24,4.47,0.16,214,34,2453.04,1,12055.87,4.0,296,Q1,2964,2148
2019-03-01,Chiang Mai,3547,0.3408,48882.94,24993.98,4.49,0.16,230,21,2386.3,1,11597.67,3.97,279,Q1,3049,2370
2019-04-01,Chiang Mai,3603,0.3568,49018.87,25485.09,4.49,0.16,234,27,2318.32,1,12298.3,4.15,285,Q2,3547,2282
2019-05-01,Chiang Mai,3563,0.3721,48992.21,25722.93,4.47,0.17,253,27,2616.89,1,12003.39,4.34,290,Q2,3603,2284
2019-06-01,Chiang Mai,3310,0.3405,48012.25,24967.28,4.46,0.17,264,23,2109.37,1,12161.74,4.18,297,Q2,3563,2506
2019-07-01,Chiang Mai,4145,0.3744,49246.25,24601.42,4.49,0.17,274,25,2603.54,1,11346.04,3.99,287,Q3,3310,2635
2019-08-01,Chiang Mai,3649,0.3874,49035.28,25061.98,4.54,0.17,279,42,2430.34,1,12263.66,4.2,294,Q3,4145,3328
2019-09-01,Chiang Mai,4142,0.4189,49089.43,25165.6,4.54,0.17,300,47,2585.27,1,12168.13,3.83,303,Q3,3649,2888
2019-10-01,Chiang Mai,4499,0.4224,48096.91,24449.74,4.56,0.17,316,40,2534.51,1,12297.35,4.15,301,Q4,4142,2816
2019-11-01,Chiang Mai,4335,0.4177,47999.92,25276.85,4.6,0.17,332,58,2141.31,1,12137.06,4.1,294,Q4,4499,3445
2019-12-01,Chiang Mai,4156,0.4478,48752.4,25379.74,4.59,0.17,343,61,2501.06,1,11972.92,4.12,303,Q4,4335,3181
2020-01-01,Chiang Mai,4230,0.4374,49048.58,25006.35,4.59,0.17,347,51,2402.59,1,12414.13,4.17,315,Q1,4156,2964
2020-02-01,Chiang Mai,4300,0.4455,47924.1,25527.43,4.56,0.17,357,43,2419.63,1,11681.79,3.82,311,Q1,4230,3049
2020-03-01,Chiang Mai,4456,0.4555,48700.89,25490.22,4.63,0.17,368,57,2455.86,1,12047.08,3.89,288,Q1,4300,3547
2020-04-01,Chiang Mai,4325,0.4706,48118.32,24964.67,4.7,0.17,379,40,2487.48,1,11782.09,3.81,294,Q2,4456,3603
2020-05-01,Chiang Mai,4721,0.4792,48488.41,24996.0,4.71,0.18,408,59,2678.49,1,12532.58,3.7,311,Q2,4325,3563
2020-06-01,Chiang Mai,4876,0.4717,48513.4,25661.8,4.75,0.18,425,35,2270.33,1,12394.25,4.0,304,Q2,4721,3310
2020-07-01,Chiang Mai,5365,0.492,47840.17,25157.93,4.77,0.18,430,74,2259.18,1,12119.76,4.15,301,Q3,4876,4145
2020-08-01,Chiang Mai,5154,0.5027,48970.18,25409.76,4.76,0.18,450,37,2382.44,1,12055.79,3.75,299,Q3,5365,3649
2020-09-01,Chiang Mai,5031,0.5043,49043.62,24995.98,4.78,0.18,465,81,2289.94,1,12336.48,4.08,312,Q3,5154,4142
2020-10-01,Chiang Mai,5336,0.5363,47965.22,25218.65,4.83,0.18,480,56,2545.57,1,12502.41,3.82,319,Q4,5031,4499
2020-11-01,Chiang Mai,4622,0.5337,49109.69,25772.75,4.82,0.18,496,62,2396.44,1,12298.66,3.95,308,Q4,5336,4335
